LargestPropertyUseType;Groupe
Office;Office
Non-Refrigerated Warehouse;Warehouse
Other;Other
Retail Store;Retail
Hotel;Hospitality
Worship Facility;Assembly
Distribution Center;Warehouse
K-12 School;Education
Medical Office;Healthcare
Supermarket/Grocery Store;Retail
Other - Recreation;Other
Parking;Other
Self-Storage Facility;Warehouse
College/University;Education
Residence Hall/Dormitory;Hospitality
Other - Entertainment/Public Assembly;Assembly
Senior Care Community;Healthcare
Restaurant;Retail
Laboratory;Industrial
Refrigerated Warehouse;Industrial
Social/Meeting Hall;Assembly
Hospital (General Medical & Surgical);Healthcare
Manufacturing/Industrial Plant;Industrial
Repair Services (Vehicle, Shoe, Locksmith, etc);Other
Strip Mall;Retail
Fitness Center/Health Club/Gym;Other
Automobile Dealership;Retail
Museum;Assembly
Other - Lodging/Residential;Hospitality
Other - Services;Other
Library;Assembly
Other - Mall;Retail
Other/Specialty Hospital;Healthcare
Financial Office;Office
Urgent Care/Clinic/Other Outpatient;Healthcare
Bank Branch;Office
Retail;Retail
Data Center;Industrial
Performing Arts;Assembly
Other - Education;Education
Prison/Incarceration;Public
Lifestyle Center;Other
Other - Public Services;Public
Other - Restaurant/Bar;Retail
Adult Education;Education
Other - Utility;Other
Pre-school/Daycare;Education
Police Station;Public
Courthouse;Public
Wholesale Club/Supercenter;Retail
Fire Station;Public
Residential Care Facility;Healthcare
Food Service;Retail
Warehouse;Warehouse
Movie Theater;Assembly
Personal Services (Health/Beauty, Dry Cleaning, etc);Other
Hospitality;Hospitality
Assembly;Assembly
